localization/kinematic_state,Critical,Control/Planning,20,0.7K,14KB/s
localization/pose_estimator/pose,Critical,Control/Planning,10,0.1K,1KB/s
localization/pose_estimator/pose_with_covariance,Critical,Control/Planning,10,0.36K,3.6KB/s
localization/pose_twist_fusion_filter/pose,Critical,Control/Planning,20,0.08K,1.6KB/s
localization/pose_twist_fusion_filter/twist,Critical,Control/Planning,20,0.08K,1.6KB/s
localization/pose_twist_fusion_filter/twist_with_covariance,Critical,Control/Planning,20,0.4K,8KB/s
localization/pose_with_covariance,Critical,Control/Planning,20,0.4K,8KB/s
localization/twist_estimator/twist_with_covariance,Critical,Control/Planning,20,0.4K,8KB/s
perception/object_recognition/detection/centerpoint/objects,Critical,Control/Planning,10,0.1K,1KB/s
perception/object_recognition/detection/detection_by_tracker/objects,Critical,Control/Planning,10,0.1K,1KB/s
perception/object_recognition/detection/objects,Critical,Control/Planning,10,0.1K,1KB/s
perception/object_recognition/objects,Critical,Control/Planning,10,0.1K,1KB/s
perception/object_recognition/prediction/maneuver,Critical,Control/Planning,10,0.01K,0.1KB/s
perception/object_recognition/tracking/objects,Critical,Control/Planning,10,0.01K,0.1KB/s
perception/occupancy_grid_map/map,Critical,Control/Planning,10,90K,900KB/s
sensing/gnss/pose_with_covariance,Critical,Control/Planning,2,0.4K,0.8KB/s
sensing/imu/imu_data,Critical,Control/Planning,20,0.4K,8KB/s
sensing/vehicle_velocity_converter/twist_with_covariance,Critical,Control/Planning,20,0.4K,8KB/s
localization/debug/ellipse_marker,Less-Critical,Vehicle/System,20,1K,20KB/s
localization/pose_estimator/debug/loaded_pointcloud_map,Less-Critical,Vehicle/System,1,1K,1KB/s
localization/pose_estimator/exe_time_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
localization/pose_twist_fusion_filter/debug/processing_time_ms,Less-Critical,Vehicle/System,20,1K,20KB/s
localization/pose_twist_fusion_filter/debug/stop_flag,Less-Critical,Vehicle/System,20,1K,20KB/s
localization/pose_twist_fusion_filter/pose_instability_detector/debug/diff_pose,Less-Critical,Vehicle/System,5,1K,5KB/s
localization/util/crop_box_filter_measurement_range/debug/cyclic_time_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
localization/util/crop_box_filter_measurement_range/debug/pipeline_latency_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
localization/util/crop_box_filter_measurement_range/debug/processing_time_ms,Less-Critical,Vehicle/System,10,1K,10KB/s
localization/util/downsample/pointcloud/debug/published_time,Less-Critical,Vehicle/System,10,1K,10KB/s
localization/util/measurement_range/pointcloud/debug/published_time,Less-Critical,Vehicle/System,10,1K,10KB/s
